actor_id,actor
21596,Shannon Elizabeth
95896,Dervla Kirwan
78659,Derek Magyar
104014,Jim Siedow
1422517,Oakes Fegley
36900,John Sharian
30296,Joanne Dru
78408,Merik Tadros
94423,Shantel VanSanten
11033,Paul Stewart
702,Philip Tan
8925,Emmanuelle Seigner
1340978,Kiara Advani
181851,Amy Hathaway
21594,Chris Klein
1697834,Jeffrey Watkins
73489,Tom Burlinson
66540,Arnie Pantoja
10768,Rachel Ticotin
31364,Sarah Douglas
12485,Jack Creley
8874,Ernie Hudson
937,Derek Jacobi
224,David Cronenberg
60652,Darren Shahlavi
1218149,Brennan Brown
83313,Melanie Mayron
17078,Michael Smiley
55062,Tabu
52483,Rus Blackwell
92859,Sarah Murdoch
10882,Rosamund Pike
12900,Wallace Shawn
35068,Vidya Balan
1233,Philip Seymour Hoffman
39556,Dana Davis
4165,John Wayne
74136,Justin Welborn
9191,Timothy Spall
14830,Vincent Gardenia
1165384,Gaia Weiss
90325,Luca Calvani
3292,Nicholas Hoult
202893,Nick Roth
136761,Nathalie Baye
1455873,Tom Hamann
21355,DMX
952664,Michael Maccarone
1133330,Maximilian Dirr
40347,Dan Molina
52475,J. Smith-Cameron
6352,Jane Fonda
134178,Patricia Richardson
239173,Sonam Kinga
6575,Gil Bellows
76686,Terrance Zdunich
111714,Al Green
13724,Jane Alexander
3141,Marisa Tomei
136879,Rikiya Yasuoka
1173984,Olivia Cooke
1298790,Jeremy Sande
84517,Taylor Dooley
4813,Béatrice Dalle
5139,Robert Englund
86320,Sean Cameron Michael
11150,Gina Gershon
10698,Tchéky Karyo
34544,Joshua Harto
1154488,Chris Carlson
37168,Hans Matheson
20818,Allen Covert
4785,Jeff Goldblum
2139,Makenzie Vega Norfolk
1523611,Jerry Brown
2677,Bahar Soomekh
138242,Elizabeth Franz
141823,Tisha Campbell-Martin
28639,Carmen Electra
4940,Trevor Morgan
6885,Charlize Theron
68321,Michael Carman
5006,Madison Eginton
11701,Angelina Jolie
77078,Malcolm David Kelley
13938,Michael Lombard
26852,Joshua Leonard
58431,Abdul Salis
55541,Eddie Cibrian
8875,David Margulies
1163085,David Bianchi
34915,Kristin Booth
17005,Doug Jones
14592,BD Wong
101810,Benjamin Dickinson
29051,L. Scott Caldwell
115429,Janette Armand
59882,Paz de la Huerta
119817,Bárbara Mori
83701,Alex Kingston
2878,C. Thomas Howell
2244,Jesper Christensen
87707,John Ventimiglia
22290,Leelee Sobieski
57823,Marylouise Burke
21104,Glenne Headly
14331,Nestor Serrano
13446,Eliza Dushku
42694,Tamara Tunie
121453,Miguel Castro
31138,Valarie Pettiford
65598,Tony Jay
5140,Wes Craven
12976,Rawle D. Lewis
88582,John Darrow
2481,Ian Bannen
39125,Will Sasso
15196,David Hemmings
1532954,Carole Morison
52139,Seth MacFarlane
87822,Damon Wayans Jr.
85450,Mithun Chakraborty
35780,Amitabh Bachchan
16213,Lance Guest
1277712,Rüdiger Evers
16502,Geraldine Hughes
963134,Raymond Ochoa
1248,Brian Cox
18070,Nicky Katt
8852,Michele Lamar Richards
45391,Beth Broderick
56080,Javal Davis
25787,Ava Gardner
9292,Mink Stole
10068,Akiko Wakabayashi
17199,Corey Johnson
61185,Jackie Burroughs
85177,Creed Bratton
44243,Maurice Godin
554283,Tom Yang
12657,Jean Marsh
18156,Don Ameche
11787,Nancy Kyes
57685,Ray Allen
109174,Lea Coco
115149,Adrienne Shaw
169625,Alejandro Furth
1267004,Gregory Russell Cook
4517,Joe Pesci
109897,Ethel Merman
13294,Gene Kelly
11671,Bijou Phillips
1743,Denise Crosby
77913,Andree Moss
117642,Jason Momoa
5292,Denzel Washington
19189,Elizabeth Berkley
1475,Musetta Vander
25438,Ed Speleers
19839,David Paymer
64119,Robert Urich
120721,Austin Michael Scott
777,Judge Reinhold
56963,Angelo Barra Moreira
160098,Michael Coleman
6907,Annie Corley
72985,Ramón Rodríguez
20187,Camryn Manheim
65164,Master P
65829,Wood Harris
16108,Lee Meriwether
1121635,Rebecca Dayan
51300,Derek Mears
19968,Royal Dano
1225471,Tracie Savage
543261,Karen Gillan
1525960,Harry Musselwhite
21629,Tzi Ma
90576,Jeff Branson
5725,Goran Visnjic
229395,István Lénárt
65002,Dana Delany
133252,Zoie Palmer
200065,Chelsea Rendon
1109247,John Walsch
59075,Lee Oakes
3497,Kyle Chandler
238147,Darling Narita
10127,Jon Voight
10222,Roger Moore
34612,Anna Chlumsky
1073500,Levy Easterly
13483,Gaye Brown
3085,James Caan
59784,Carlos Alazraqui
1371398,O'Shea Jackson Jr.
38192,Rachel Covey
51609,Gemmenne de la Peña
4938,Vanessa Lee Chester
26858,Malcolm Terris
1562,Iben Hjejle
12514,Leonardo Cimino
1274315,Michael Artura
1207881,Oaklee Pendergast
480,Gary Lewis
9995,Jami Gertz
123316,Dilip Prabhavalkar
141463,Simon Quarterman
81083,Max Burkholder
586067,Carol Block
41308,Bobby Coleman
51580,Janine Turner
11130,James Robertson Justice
58710,Amy Steel
33936,Barbara Nedeljakova
52647,Shawn Hatosy
44736,Goran Kostić
1532387,Lodric D. Collins
144301,Shannon Beckner
90514,Birgitte Hjort Sørensen
6637,Frank Finlay
65451,Oliver Maltman
52708,Andy Davoli
3982,Xander Berkeley
70746,Ed Flanders
74151,Jason Spevack
61962,D. B. Sweeney
188311,Eric Ladin
22600,Edmund Gwenn
183201,Barbara Flynn
10843,Luke Goss
62410,Sammo Hung
151021,Heather Magee
1160,Michelle Pfeiffer
19163,Virginie Ledoyen
136191,Min Tanaka
22123,Jordana Brewster
17140,Abigail Breslin
52973,Waheeda Rehman
8986,James Rebhorn
11826,Selma Blair
6639,Emilia Fox
57192,Spencer Locke
141217,David Reale
10501,Chaim Topol
18277,Sandra Bullock
12260,Ron Eldard
58682,Heidi Marnhout
3899,Ken Watanabe
9910,Tania Mallet
1166,Harris Yulin
2954,Jeffrey Wright
11749,Sarah Berry
53887,Brandon Ratcliff
50807,Michael Richards
6360,Dorothy Tristan
17494,Dennis Dugan
77801,Marques Houston
27978,Denis Lavant
81061,Bob Griffith
14405,Courteney Cox
68307,Luke Mably
57906,Andrew Dice Clay
64200,David Kagen
827,Elliott Gould
100867,Marika Dominczyk
124304,Michael Irby
108542,E-40
59967,Rebecca Gayheart
22063,James Frain
54014,David Hayman
15276,Angela Featherstone
5365,Clifton Collins Jr
140250,Tom Everett
44103,Richard Fitzpatrick
46814,Dale Dickey
4724,Kevin Bacon
69122,Heather Graham
58794,Todd Jensen
3627,Paz Vega
37470,Adrienne King
17413,Julio Oscar Mechoso
67602,Corbin Bleu
351,Judy Davis
15105,Mike Hagerty
19299,Eamonn Walker
1285,AnnaSophia Robb
7399,Ben Stiller
34844,Monet Mazur
58032,Jessica Campbell
15098,June Foray
90597,Micah Sloat
100381,Jed Rowen
55788,Keith Dallas
49,Maria Bello
7124,Ray Milland
11275,Stephen Fry
53184,Rick Gonzalez
69399,Alexandra Holden
1264589,Emma Eliza Regan
37014,Lauren German
1217619,Ronobir Lahiri
58648,Victor Rivers
74438,Robert Boulter
23597,Ceasare Willis
1065,Thomas F. Wilson
52414,Cameron Bright
74440,Nichola Burley
26853,Michael C. Williams
37154,John Magaro
49425,Annabeth Gish
74442,Jaime Winstone
15008,Ann Miller
53122,Fran Drescher
52930,Carlos Jacott
76793,Irrfan Khan
77885,Blayne Weaver
61983,Jason Marsden
92404,Joel Kinnaman
11107,Ben Foster
1168215,Bobby Kendall
43626,Dora Bryan
1321309,Jordan Savage
1175785,Donald Holden
63758,Gitte Witt
5470,Kristin Scott Thomas
28410,Jake Busey
1205,Richard Gere
3544,Harry Eden
10660,Tanya Roberts
67393,Buddy Hackett
42095,Casper Christensen
1734575,Bryson Funk
10681,Wayne Newton
1619931,Tiffany Burns
9599,Cloris Leachman
253,Douglas Rain
558466,Alex Russell
20354,Amber Tamblyn
91600,R. H. Thomson
1207534,Tyler McGee
2672,Jack Carson
8768,Maia Morgenstern
74747,Shahkrit Yamnarm
86264,Jeffrey Chyau
87220,Brian Boland
103944,Dondre Whitfield
65505,Arthur Hill
1499085,Viviana Andrade
81164,Danneel Ackles
146417,Corlandos Scott 
57991,Wanda De Jesus
3610,Madeleine Carroll
10881,Toby Stephens
42626,Trent Ford
22461,Vincent Gallo
24811,Victor Buono
39658,Sally Hawkins
17347,Marshall Allman
93643,Patricia Hamilton
62842,Eddie Griffin
224188,Jack Scanlon
15887,Julia Ormond
47882,Cynthia Gibb
84274,Robin L. Watkins
132078,DJ Qualls
57575,Natalie Mendoza
17773,Gabrielle Union
72997,Chris Potter
11007,Ray Park
78749,Hrithik Roshan
55392,Martha Higareda
90440,Ross Noble
17108,Jonathan Caouette
85969,Emraan Hashmi
785,James Russo
534,Mark Boone Junior
25988,Vitali Baganov
67274,Dolly Parton
20115,Amidou
47628,Julian Morris
38085,Michael O'Keefe
146598,Mick Partridge
99359,Tommy Redmond Hicks
53055,Jeff Lima
11512,John Heard
65838,Jeremy Sumpter
7219,David Andrews
23681,Brandon Hammond
1196455,Rainbow Francks
1046233,Elizabeth Blackmore
34597,Kevin McCarthy
42279,Laura Fraser
41125,Eric Allan Kramer
1320506,Harry Ratchford
4238,Common
57121,Rie Rasmussen
114764,David Schallipp
5530,James McAvoy
100701,Rob Devaney
43232,Valerie Cruz
1177998,Alison Monda
1175787,Rachael Handy
58691,Heather Locklear
222632,Kayla Raparelli
1218645,Tim Gunn
6638,Maureen Lipman
51544,Mare Winningham
6212,Zak Orth
97854,David Millbern
10872,Patton Oswalt
68538,Joe Simpson
22131,J. T. Walsh
517,Pierce Brosnan
3977,Joe Morton
109560,Gabourey Sidibe
90683,Georgina Reilly
17678,Rudy Youngblood
1218072,Ellen Muth
938783,Ron Morgan
27737,Bill Moseley
111176,Alex Michaeletos
76512,Jason Clarke
27632,Ben Daniels
16240,Stefano Dionisi
27976,Harvey Pekar
33348,Adrian Holmes
1440057,Allison Paige
1210640,Patrick O'Donnell
3289,Paul Weitz
71282,Kate Magowan
84732,Ayanat Ksenbai
1286744,Steele Stebbins
1250809,Finbar Lynch
53755,Elizabeth Reaser
4688,Michael Rapaport
81092,Asin Thottumkal
590820,Art Hsu
51989,Jessica Lucas
1579,Maggie Gyllenhaal
60642,Tom Petty
34902,Jane Horrocks
34490,Sarah Paulson
29369,Melanie Griffith
17857,Shaun Toub
20492,Jordan Ladd
260,Marco Pérez
17396,Timothy Carhart
1395443,Antoine McLean
52601,Sean Hayes
486603,Anna Hutchison
1214813,André Sogliuzzo
29512,Gerald McRaney
21986,Reba McEntire
41757,Aki Aleong
171197,Martin Priest
74932,Paige Turco
6860,Jimmy Bennett
11059,Lyle Lovett
20215,Billy Campbell
141717,Tommaso Puntelli
13314,Dana Ivey
58319,Jason Scott Lee
65239,Susan Ward
1519320,Rhomeyn Johnson
8699,Michael Nouri
28010,David Ogden Stiers
155488,Kelly Clarkson
25155,Jean-Louis Barrault
55469,Russell Tovey
52409,Jake La Botz
84833,Zach Cregger
5832,Reginald Owen
92087,Tempestt Bledsoe
94440,Gregory Marcel
77153,Leif Tilden
221098,Anna Camp
4764,John C. Reilly
6679,Richard Beymer
22227,Christopher Meloni
449513,Meredith Hagner
135553,Lloyd Warner
57701,Rochelle Davis
76485,Nirattisai Kaljaruek
1532952,Vince Edwards
129520,Esther Williams
15413,Richard Dysart
54782,Mary Beth Hurt
1152492,Allen Fiuzat
4431,Jessica Lange
71900,Adrian Paul
8687,Chi McBride
41640,Tovah Feldshuh
18666,Don Murray
88550,Joel Garland
122747,O.L. Duke
4078,Lee Van Cleef
1516910,Briana Buckmaster
85073,Lorraine Stanley
2639,Eva Marie Saint
146339,Lincoln Hoppe
34900,Paul Whitehouse
54718,Brooke Dillman
1319096,Marion Lambert
1208342,Krista Madison
82167,David Costabile
105305,Aaron Wolff
1469630,Alessandro Lindblad
35799,Marny Eng
3907,Harve Presnell
1213118,Neil Barton
1242809,Antony Byrne
17079,Richard Felix
14528,Yul Brynner
21197,Janeane Garofalo
83854,David Dastmalchian
41234,Judy Geeson
78452,Gina Carano
5255,Robert Webber
2556,Amy Robinson
23630,Jeff Anderson
64929,Jack Gilford
90117,James Chalke
8608,Murray Hamilton
101400,Magaly Solier
8349,Martin Sheen
84115,Jason Weaver
145184,Sandra Echeverría
78430,Julianna Guill
57422,Jared Rushton
2888,Will Smith
83037,Jan-Michael Vincent
3336,Coleen Gray
2524,Tom Hardy
6461,Estelle Parsons
1327009,Lorelei Linklater
707,Dan Aykroyd
21124,Paula Garcés
783,Jonathan Banks
114600,Nick Lashaway
9045,Stephen Baldwin
15903,George Carlin
1378128,Allegra Carpenter
1313583,Levi Miller
16554,Richard Crenna
65756,Melissa Errico
349,Scott Glenn
35028,Zoe Kazan
28745,Deborra-Lee Furness
