actor_id,actor
119707,Jonathan Dubsky
9296,Balthazar Getty
1244124,Amy Dudgeon
1756633,Forrest Walsh
52878,Lisa Banes
1574428,Jared McVay
1748207,Joe Washington
1786721,Teresa Zantua
1004175,Louis Falavigna
1398714,Tyler Kimball
1742633,Carol Been
1718818,Cleo Yeh
1684033,Tayo Walker-Allen
21292,Alain Goulem
33308,James Ashcroft
1503720,Cleavon McClendon
1802887,Greg Noonan
582938,Alfie Field
82988,Meagen Fay
1233436,Diana Morgan
11843,John Stride
1413524,Brooks Brown
1550819,Lori Berlanga
4111,Ingrid Bergman
1571795,Radzi Chinyanganya
1499383,Judith Reid
552176,Haruo Suzuki
70591,Philip Chan Yan-Kin
205565,Bill Seward
52601,Sean Hayes
122889,Dane DeHaan
1749236,Lucas Meyers
1877153,William R. Perry
28463,Jean-Pierre Darroussin
77037,Josh Emerson
1227701,Leila Birch
12830,Lou Hirsch
1433441,Peter Kybart
58546,Barbara Carroll
972041,Leeon Jones
95211,Michael Wheels Parise
43773,Andreas Katsulas
64064,Aleisha Allen
1266030,Dina Abdullah
143256,Natalie Gold
1569834,Rod Man
168530,Claude Duhamel
1674157,DeAndre Jordan
157633,Pete Schrum
182102,Patti Austin
1000998,Rebecca Ferdinando
1172813,Richard King
1252551,Charlie Baker
107789,Bogdan Koca
79744,Sunshine Parker
185111,Jefferson Mappin
77809,Ross Patterson
1331746,Rodica Ioana Ungureanu
1542698,Chaunty Spillane
38666,Tania Raymonde
97787,Phyllis Boyens
1172399,Richard Green
1781344,Sandrine Marlier
1244796,Emily Wheaton
555075,Sarabel Levinson
45423,Kris Swanberg
75322,Oliver Kindred
1265394,Carey Goldenberg
83873,June Diane Raphael
11011,Zak Penn
1265847,Joe Alexander
225611,Andrew Ellis
33487,Patricia Wettig
79864,Trevor Thomas
110402,Gary Waddell
1665603,Niamh Walter
10362,Roberta Maxwell
565498,Laura Cayouette
1781759,Jacob White
43364,Dakin Matthews
1453507,Phil Brotherton
995198,Tom Lipinski
1304062,Alma Rubens
1194347,John Marshall Jones
66201,Ralph Strait
1190987,Dan Amboyer
1093973,Richard Macklin
1628053,Adina Cristescu
5499,Regula Grauwiller
1777434,Tales Yamamoto
1665266,San Yélamos
65926,Qiana Drew
1287586,James Gaudioso
1503039,Saveria Mazzola
1366743,Taylor N. Duncan
142294,Jason Butler Harner
60379,Barry Ryan
456735,Péter Takátsy
57496,Bridget Bennett
28013,Randy Sandke
8223,Jon Finch
1218767,Marieve Herington
3317,Takeshi Kitano
1193627,Hugh T. Farley
5903,Victor Macias
20959,"Louis Gossett, Jr."
20470,Zachary Coffin
555072,Charles Lee Jr.
6075,Michel 'Gish' Abou-Samah
106709,Raquel Krelle
1414108,Flynn MacArthur
1506496,Donna Sue Jahier
59202,Guenia Lemos
97754,Deborah Dutch
1468787,Martina Cortina
2770,Sal Mineo
1304331,Paul Briganti
1793221,Chris Brewster
1532140,Giuseppe Varni
19453,Tom Bower
73616,Jared Kusnitz
120253,Tony Bentley
1202716,Frank Falcone
1324821,George Sowards
159669,Kathleen Noone
86178,Patrick Stinson
25579,Chuck Hicks
1180980,Tobit Raphael
1868844,Lee Lund
1090000,Liana Del Balzo
1159596,Michelle DeVito
1188761,Charles David Richards
2842,Jeannetta Arnette
1231943,Deborah Moore
1116442,John Morris
1266861,Anoushka Ravanshad
66663,Bryan Keith Ponton
1366358,David Collins
1530549,Tami Goveia
122551,Katherine O'Sullivan
1502281,Ken Melde
1465725,David Pompeii
158360,Lenore Zann
42163,Duane Carnahan
1089398,Franci Leary
1408920,Carinne Julien
117669,Portia Doubleday
1635984,Chika Kanamoto
1715,David Bailie
106839,Eugene Cernan
27593,Michaela Mann
224530,Eric Kissack
1744015,Andrew Cunningham
1290642,Matthew Laraway
41313,Moa Khouas
153516,Ryan McDonald
81082,Travis Oates
1544181,Aria Alpert Adjani
1274860,Damien Michaels
1766631,Wendell Kinney
3800,Jerry Hall
12355,Russell Johnson
8597,Phellipe Haagensen
89834,Barry Kelley
1118671,Tai Chan Ngo
133068,Owen Burke
5247,John Fiedler
1785243,Justin Page
1830929,Sheryl Arenson
1530095,Lars Gerhard
109861,Jamie Thomas King
1686692,Angelo Josue Lozano Corzo
25078,Eriq Ebouaney
240875,Brandon Sanderson
1263941,Everardo Guzman
1748111,Harve Cook
1857412,Roberto Bryce
1209678,Filomena Spagnuolo
42547,Jay Acovone
