director_id,director
3974,Miloš Forman
63852,Warren P. Sonoda
75646,Bryan Barber
101233,Michael Winnick
1009253,Jason Trost
17867,Tom McCarthy
1462,Tim Blake Nelson
92834,Randall Rubin
1062889,Bill Muir
934803,Josh Trank
1137903,Sam Taylor-Johnson
998842,Efram Potelle
101377,Paul Bartel
129952,Sean McNamara
55420,William Arntz
58375,Andy Fickman
78485,Jeff McGrath
1215,Raja Gosnell
23590,David LaChapelle
836732,Jake Schreier
258199,Michael Martin
56263,Mary Lambert
74297,Hendel Butoy
82222,Emmett Malloy
32278,Matt Reeves
46085,Luis Mandoki
134306,Kevin Sullivan
224,David Cronenberg
10723,Mike Newell
21712,Carl Franklin
15378,Carol Reed
17649,Alexander Witt
1024823,Brian A Miller
1769,Sofia Coppola
936154,Stephen St. Leger
51534,Lucky McKee
185995,Michael Walker
36588,Joe Wright
564,Richard Linklater
107730,Tran Anh Hung
1031144,Chad Hartigan
1044257,James Swirsky
32593,Steven Brill
5149,Bonnie Hunt
72757,Steve McQueen
74589,Chris Paine
117075,Henry Jaglom
77441,Darren Grant
1030160,Richard Raymond
5713,Chris Wedge
18865,Louis Leterrier
51521,Robert Greenwald
16305,David Levien
76095,Jennifer Finnigan
24,Robert Zemeckis
1330498,Rania Attieh
4945,Joe Johnston
151232,Wil Shriner
73289,Conor McPherson
19012,Davis Guggenheim
17871,John Hamburg
1927,Blake Edwards
1041549,Justin Thomas Ostensen
64131,Courtney Hunt
929917,Lee Sternthal
13015,Phillip Noyce
285452,Pete Jones
37577,Bigas Luna
71729,Steve Martino
114615,Patrick Doughtie
64045,Kirk Jones
7409,J.B. Rogers
65530,Mike Gabriel
57090,Brett Leonard
52779,Ryan Murphy
74159,Robert B. Weide
57691,Tamra Davis
1027145,Andrew J. Smith
54795,Troy Duffy
17510,Ol Parker
88039,Steven R. Monroe
1066308,Aaron T. Wells
44056,Fred Dekker
1384771,Jennifer Wynne Farmer
81856,Nicholas Jarecki
65865,Damien O'Donnell
19003,Heidi Ewing
144528,Bruce MacDonald
4755,David R. Ellis
11701,Angelina Jolie
89113,John Robert Hoffman
4786,Richard Attenborough
65310,Kenny Ortega
1062805,John Maclean
62514,Tommy O'Haver
64508,Sidney J. Furie
76248,Kevin Hench
1168852,Dave Carroll
58165,Rocky Morton
52443,Jason Reitman
12988,Paul Michael Glaser
29342,Noel Marshall
125738,Daniel Espinosa
1524,Harold Ramis
7131,Larry Karaszewski
61848,James Dodson
101810,Benjamin Dickinson
36423,Tom Green
15217,Zack Snyder
52576,José Padilha
136495,Damien Chazelle
19303,Kevin Smith
68281,Justin Kerrigan
59466,Jamie Babbit
63306,James Watkins
1152,Oliver Stone
72133,Vicente Amorim
58292,Aaron Schneider
65390,Scott Kalvert
1187609,W.D. Hogan
168330,Ben Lewin
80537,Dave Borthwick
930707,Colin Trevorrow
77919,Tim McCanlies
5446,David Hand
1346215,Lluís Quílez
89395,Katherine Dieckmann
8843,Mick Jackson
2632,Chris Rock
17016,Neil Jordan
1169157,Timothy Woodward Jr.
11777,Tommy Lee Wallace
5140,Wes Craven
40,Orson Welles
110834,John Murlowski
1456123,Dena Seidel
814,Tony Kaye
9577,George Roy Hill
1413504,Shyam Madiraju
57898,William Malone
1562428,James O'Brien
554900,Clark Baker
52139,Seth MacFarlane
54597,Joe Nussbaum
64743,Adam Marcus
933320,Eldar Rapaport
558929,David Robert Mitchell
64735,Rob Hedden
884,Steve Buscemi
56735,David Moreau
11151,Nick Cassavetes
94918,Daniel Barber
59026,Peyton Reed
43439,Scott Ziehl
12995,Marc Forster
51851,Jake Kasdan
1532382,Joseph Mazzella
1448550,Sara Newens
223909,Hue Rhodes
103031,Eric Nicholas
17278,Nick Gomez
68352,Carter Smith
22140,Kari Skogland
177532,Marielle Heller
47333,John Wells
2176,Tommy Lee Jones
12962,Jon Turteltaub
33254,Jim Gillespie
239418,Darren Stein
66190,Tony Bancroft
13294,Gene Kelly
64211,Franck Khalfoun
201,Michel Gondry
114404,Miguel Sapochnik
5292,Denzel Washington
34453,Kevin Bray
155747,David M. Matthews
28904,Hugh Wilson
6767,Larry Charles
94220,Àlex Pastor
22676,Ole Bornedal
558177,Jonathan Newman
29009,Ken Kwapis
31497,John Cromwell
8557,Fernando Meirelles
21377,Peter Medak
2460,Randall Wallace
57370,Frank Coraci
56660,Lorna Cook
13980,Vincente Minnelli
71600,Seth Gordon
968998,Jeta Amata
10076,Lewis Gilbert
111247,Alan Cohn
1454884,Cedric Nicolas-Troyan
35452,Corey Yuen Kwai
24528,Matthew R. Anderson
1434341,Jim Issa
21931,Chris Nahon
8574,Walter Salles
20739,Adam Shankman
64149,Peter Hastings
111085,Jean-Jacques Mantello
145169,Martyn Pick
58667,Wayne Beach
57414,Richard Montoya
13,Albert Brooks
61921,Courtney Solomon
40385,Marcia Bennett
81850,Duncan Jones
1070682,Fernando Baez Mella
52358,Boaz Yakin
38131,Sergey Bondarchuk
2042,Stephen Hopkins
6884,Patty Jenkins
1314011,Nathan Smith Jones
1884,Steven Soderbergh
1070340,Simon Yin
20921,Monte Hellman
41530,Nick Love
129715,Agnieszka Wojtowicz-Vosloo
5174,Barry Sonnenfeld
155531,Joe Cornish
59975,Michael D. Sellers
543568,Kim Jee-woon
1354959,Justin Tipping
143079,Christian E. Christiansen
97591,Joel Anderson
1645102,Jason Miller
1116801,Sue Corcoran
77465,Ash Baron-Cohen
56512,Tarsem Singh
1109245,Digby Cook
36697,Gábor Csupó
56147,Paul Brizzi
43673,Tom Reeve
64191,Lawrence Guterman
59923,Marc Forby
122449,Steve James
141706,Chuck Sheetz
11181,Kenneth Branagh
1191051,Blair Erickson
231521,Eric Styles
141673,Jason Eisener
83224,Jamie Thraves
26849,Daniel Myrick
228,Ed Harris
17329,Neil Burger
4319,Stacy Peralta
80691,Gary Chapman
119419,Deon Taylor
1617,James Schamus
18323,Marc Lawrence
67106,Robert Sarkies
47893,Gary Nelson
34517,Trey Parker
96677,Nora Twomey
9868,Peter R. Hunt
57193,Gil Kenan
32277,Geoff Murphy
1557430,Chad Kapper
75919,Hal Haberman
57173,Jeff Lowell
100516,Max Mayer
55252,Tim Miller
56501,Michael Spierig
56150,Ellory Elkayem
16837,Mark Steven Johnson
17825,Shawn Levy
42745,Steve Antin
52038,Thomas Carter
104507,Steve Gomer
17845,Michael Meredith
68215,Reginald Hudlin
42518,Peter Care
84369,Eugene Jarecki
17494,Dennis Dugan
99496,Raymond De Felitta
58072,John Pasquin
87121,Vic Sarin
65420,Louis Morneau
131060,Chris D'Arienzo
94075,David Soren
154,Walter Murch
131242,Anthony Bell
642,Laura Lau
133398,Quentin Dupieux
1002001,Frank Lotito
22239,Travis Zariwny
111588,J Blakeson
82335,Richard Glatzer
1281387,Clay Kaytis
18868,Jerome Robbins
989831,Nicholas Fackler
82337,Wash Westmoreland
57436,Christopher Leitch
5696,Bruce Beresford
1128550,Timothy Hines
8328,John Milius
25598,Paul Greengrass
53120,James DeMonaco
138322,Victor Nunez
19800,Richard Marquand
58220,Hugh Hudson
61371,Todd Edwards
74272,Goran Dukic
68770,Mark Rosman
1219158,Scott Smith
92287,Alex Craig Mann
7399,Ben Stiller
12098,Chris Miller
8023,Kyle Balda
84769,Michael Worth
5572,Joel Schumacher
47773,Paul Mazursky
57125,Greg Marcks
10855,Chris Gorak
1343882,James Manera
21693,Motonori Sakakibara
129514,Peter H. Hunt
113600,Susanna White
54240,Tamara Jenkins
909318,Andrew Erwin
62797,John Gulager
56891,Rachel Talalay
26502,Howard Deutch
12112,Douglas Trumbull
40256,D.J. Caruso
4762,Paul Thomas Anderson
1196522,Jeffrey St. Jules
5714,Carlos Saldanha
1128,Agnieszka Holland
52803,Etan Cohen
41285,Kirsten Sheridan
51866,Rick Famuyiwa
68185,Eric Schaeffer
61983,Jason Marsden
5524,Andrew Adamson
999812,Bradley Parker
26095,John Patrick Shanley
567558,Joe Cross
19841,Mateo Gil
53212,David Jacobson
40230,Kevin Hooks
76247,Charles Herman-Wurmfeld
59229,Damien Dante Wayans
1311595,James Mather
229374,Marilyn Agrelo
1401541,Travis Cluff
71872,Jeff Nichols
19665,John Boorman
27991,Stuart Gordon
9054,Mervyn LeRoy
62854,Akiva Schaffer
66879,Kresten Vestbjerg Andersen
844266,Jon Erwin
228041,Márcio Garcia
7930,Jan Pinkava
56578,Jeff Tremaine
10781,Michael Apted
108497,David Caffrey
58656,Doug Lefler
109745,Lee Toland Krieger
18669,J. Lee Thompson
17042,Greg Harrison
130822,Trent Cooper
54559,Christian Alvart
225556,Salim Akil
41671,Nimród Antal
20766,Richard E. Grant
52479,Eli Craig
46076,Tom Dey
10400,Barbra Streisand
8636,Cecil B. DeMille
90591,Oren Peli
67619,Guy Green
22461,Vincent Gallo
19242,Tony Gilroy
229097,Lionel C. Martin
74152,Christine Jeffs
21339,Jez Butterworth
113641,Dewey Nicks
70238,Chris Williams
64722,John Carl Buechler
1090,John McTiernan
116100,Richard Williams
52159,James D. Stern
64815,Robert Iscove
1111709,Tom Putnam
15287,Niki Caro
11676,Mark Pellington
23430,Timur Bekmambetov
46297,Jay Russell
57454,Jonathan Jakubowicz
217587,Leslye Headland
78488,Cathy Malkasian
94787,Joe Camp
111686,Jim Field Smith
24294,Ben Younger
2034,Danny Boyle
17108,Jonathan Caouette
58448,Penelope Spheeris
21879,Simon Wells
130051,Craig Moss
