genre_id,genre,alias,genres_emoji
36,History,:classical_building:,🏛️
37,Western,:cowboy_hat_face:,🤠
80,Crime,:supervillain:,🦹
14,Fantasy,:troll:,🧌
16,Animation,:unicorn:,🦄
35,Comedy,:rolling_on_the_floor_laughing:,🤣
18,Drama,:performing_arts:,🎭
9648,Mystery,:detective:,🕵️
10749,Romance,:sparkling_heart:,💖
53,Thriller,:bomb:,💣
12,Adventure,:person_climbing:,🧗
10751,Family,:family_man_woman_girl_boy:,👨‍👩‍👧‍👦
10402,Music,:musical_notes:,🎶
10769,Foreign,:globe_showing_europe_africa:,🌍
27,Horror,:face_screaming_in_fear:,😱
878,Science Fiction,:alien:,👽
99,Documentary,:video_camera:,📹
28,Action,:person_fencing:,🤺
10770,TV Movie,:television:,📺
10752,War,:military_medal:,🎖️
