movie_id,kw_id
19995,1523
19995,2249
19995,9986
19995,11223
285,1523
285,2249
285,9986
285,11223
206647,1523
206647,2249
206647,9986
206647,11223
49026,1523
49026,2249
49026,9986
49026,11223
49529,1523
49529,2249
49529,9986
49529,11223
559,1523
559,2249
559,9986
559,11223
38757,1523
38757,2249
38757,9986
38757,11223
99861,1523
99861,2249
99861,9986
99861,11223
767,1523
767,2249
767,9986
767,11223
209112,1523
209112,2249
209112,9986
209112,11223
1452,1523
1452,2249
1452,9986
1452,11223
10764,1523
10764,2249
10764,9986
10764,11223
58,1523
58,2249
58,9986
58,11223
57201,1523
57201,2249
57201,9986
57201,11223
49521,1523
49521,2249
49521,9986
49521,11223
2454,1523
2454,2249
2454,9986
2454,11223
24428,1523
24428,2249
24428,9986
24428,11223
1865,1523
1865,2249
1865,9986
1865,11223
41154,1523
41154,2249
41154,9986
41154,11223
122917,1523
122917,2249
122917,9986
122917,11223
1930,1523
1930,2249
1930,9986
1930,11223
20662,1523
20662,2249
20662,9986
20662,11223
57158,1523
57158,2249
57158,9986
57158,11223
2268,1523
2268,2249
2268,9986
2268,11223
254,1523
254,2249
254,9986
254,11223
597,1523
597,2249
597,9986
597,11223
271110,1523
271110,2249
271110,9986
271110,11223
44833,1523
44833,2249
44833,9986
44833,11223
135397,1523
135397,2249
135397,9986
135397,11223
37724,1523
37724,2249
37724,9986
37724,11223
558,1523
558,2249
558,9986
558,11223
68721,1523
68721,2249
68721,9986
68721,11223
12155,1523
12155,2249
12155,9986
12155,11223
36668,1523
36668,2249
36668,9986
36668,11223
62211,1523
62211,2249
62211,9986
62211,11223
8373,1523
8373,2249
8373,9986
8373,11223
91314,1523
91314,2249
91314,9986
91314,11223
68728,1523
68728,2249
68728,9986
68728,11223
102382,1523
102382,2249
102382,9986
102382,11223
20526,1523
20526,2249
20526,9986
20526,11223
49013,1523
49013,2249
49013,9986
49013,11223
44912,1523
44912,2249
44912,9986
44912,11223
10193,1523
10193,2249
10193,9986
10193,11223
534,1523
534,2249
534,9986
534,11223
168259,1523
168259,2249
168259,9986
168259,11223
72190,1523
72190,2249
72190,9986
72190,11223
127585,1523
127585,2249
127585,9986
127585,11223
54138,1523
54138,2249
54138,9986
54138,11223
81005,1523
81005,2249
81005,9986
81005,11223
64682,1523
64682,2249
64682,9986
64682,11223
9543,1523
9543,2249
9543,9986
9543,11223
68726,1523
68726,2249
68726,9986
68726,11223
38356,1523
38356,2249
38356,9986
38356,11223
217,1523
217,2249
217,9986
217,11223
105864,1523
105864,2249
105864,9986
105864,11223
62177,1523
62177,2249
62177,9986
62177,11223
188927,1523
188927,2249
188927,9986
188927,11223
10681,1523
10681,2249
10681,9986
10681,11223
5174,1523
5174,2249
5174,9986
5174,11223
14161,1523
14161,2249
14161,9986
14161,11223
17979,1523
17979,2249
17979,9986
17979,11223
76757,1523
76757,2249
76757,9986
76757,11223
258489,1523
258489,2249
258489,9986
258489,11223
411,1523
411,2249
411,9986
411,11223
246655,1523
246655,2249
246655,9986
246655,11223
155,1523
155,2249
155,9986
155,11223
14160,1523
14160,2249
14160,9986
14160,11223
15512,1523
15512,2249
15512,9986
15512,11223
1726,1523
1726,2249
1726,9986
1726,11223
44826,1523
44826,2249
44826,9986
44826,11223
8487,1523
8487,2249
8487,9986
8487,11223
1735,1523
1735,2249
1735,9986
1735,11223
297761,1523
297761,2249
297761,9986
297761,11223
2698,1523
2698,2249
2698,9986
2698,11223
137113,1523
137113,2249
137113,9986
137113,11223
9804,1523
9804,2249
9804,9986
9804,11223
14869,1523
14869,2249
14869,9986
14869,11223
150540,1523
150540,2249
150540,9986
150540,11223
278927,1523
278927,2249
278927,9986
278927,11223
10138,1523
10138,2249
10138,9986
10138,11223
58595,1523
58595,2249
58595,9986
58595,11223
102651,1523
102651,2249
102651,9986
102651,11223
119450,1523
119450,2249
119450,9986
119450,11223
79698,1523
79698,2249
79698,9986
79698,11223
64686,1523
64686,2249
64686,9986
64686,11223
100402,1523
100402,2249
100402,9986
100402,11223
10192,1523
10192,2249
10192,9986
10192,11223
158852,1523
158852,2249
158852,9986
158852,11223
177572,1523
177572,2249
177572,9986
177572,11223
82690,1523
82690,2249
82690,9986
82690,11223
5255,1523
5255,2249
5255,9986
5255,11223
47933,1523
47933,2249
47933,9986
47933,11223
10191,1523
10191,2249
10191,9986
10191,11223
296,1523
296,2249
296,9986
296,11223
118340,1523
118340,2249
118340,9986
118340,11223
157336,1523
157336,2249
157336,9986
157336,11223
27205,1523
27205,2249
27205,9986
27205,11223
49051,1523
49051,2249
49051,9986
49051,11223
9799,1523
9799,2249
9799,9986
9799,11223
4922,1523
4922,2249
4922,9986
4922,11223
49538,1523
49538,2249
49538,9986
49538,11223
131634,1523
131634,2249
131634,9986
131634,11223
27022,1523
27022,2249
27022,9986
27022,11223
503,1523
503,2249
503,9986
503,11223
241259,1523
241259,2249
241259,9986
241259,11223
810,1523
810,2249
810,9986
810,11223
68735,1523
68735,2249
68735,9986
68735,11223
87101,1523
87101,2249
87101,9986
87101,11223
10140,1523
10140,2249
10140,9986
10140,11223
676,1523
676,2249
676,9986
676,11223
1858,1523
1858,2249
1858,9986
1858,11223
1966,1523
1966,2249
1966,9986
1966,11223
675,1523
675,2249
675,9986
675,11223
674,1523
674,2249
674,9986
674,11223
8960,1523
8960,2249
8960,9986
8960,11223
6479,1523
6479,2249
6479,9986
6479,11223
118,1523
118,2249
118,9986
118,11223
2062,1523
2062,2249
2062,9986
2062,11223
272,1523
272,2249
272,9986
272,11223
10527,1523
10527,2249
10527,9986
10527,11223
18360,1523
18360,2249
18360,9986
18360,11223
2080,1523
2080,2249
2080,9986
2080,11223
605,1523
605,2249
605,9986
605,11223
109445,1523
109445,2249
109445,9986
109445,11223
604,1523
604,2249
604,9986
604,11223
76338,1523
76338,2249
76338,9986
76338,11223
76341,1523
76341,2249
76341,9986
76341,11223
13448,1523
13448,2249
13448,9986
13448,11223
10195,1523
10195,2249
10195,9986
10195,11223
13053,1523
13053,2249
13053,9986
13053,11223
19585,1523
19585,2249
19585,9986
19585,11223
57165,1523
57165,2249
57165,9986
57165,11223
62213,1523
62213,2249
62213,9986
62213,11223
177677,1523
177677,2249
177677,9986
177677,11223
7978,1523
7978,2249
7978,9986
7978,11223
5559,1523
5559,2249
5559,9986
5559,11223
49444,1523
49444,2249
49444,9986
49444,11223
10196,1523
10196,2249
10196,9986
10196,11223
956,1523
956,2249
956,9986
956,11223
117251,1523
117251,2249
117251,9986
117251,11223
50321,1523
50321,2249
50321,9986
50321,11223
11619,1523
11619,2249
11619,9986
11619,11223
266647,1523
266647,2249
266647,9986
266647,11223
82703,1523
82703,2249
82703,9986
82703,11223
652,1523
652,2249
652,9986
652,11223
80321,1523
80321,2249
80321,9986
80321,11223
36669,1523
36669,2249
36669,9986
36669,11223
43074,1523
43074,2249
43074,9986
43074,11223
95,1523
95,2249
95,9986
95,11223
608,1523
608,2249
608,9986
608,11223
2310,1523
2310,2249
2310,9986
2310,11223
140300,1523
140300,2249
140300,9986
140300,11223
56292,1523
56292,2249
56292,9986
56292,11223
81188,1523
81188,2249
81188,9986
81188,11223
7552,1523
7552,2249
7552,9986
7552,11223
616,1523
616,2249
616,9986
616,11223
147441,1523
147441,2249
147441,9986
147441,11223
13475,1523
13475,2249
13475,9986
13475,11223
557,1523
557,2249
557,9986
557,11223
82702,1523
82702,2249
82702,9986
82702,11223
205584,1523
205584,2249
205584,9986
205584,11223
10048,1523
10048,2249
10048,9986
10048,11223
13183,1523
13183,2249
13183,9986
13183,11223
944,1523
944,2249
944,9986
944,11223
1927,1523
1927,2249
1927,9986
1927,11223
72559,1523
72559,2249
72559,9986
72559,11223
7364,1523
7364,2249
7364,9986
7364,11223
2114,1523
2114,2249
2114,9986
2114,11223
1771,1523
1771,2249
1771,9986
1771,11223
36643,1523
36643,2249
36643,9986
36643,11223
8619,1523
8619,2249
8619,9986
8619,11223
50620,1523
50620,2249
50620,9986
50620,11223
65759,1523
65759,2249
65759,9986
65759,11223
1724,1523
1724,2249
1724,9986
1724,11223
267935,1523
267935,2249
267935,9986
267935,11223
281957,1523
281957,2249
281957,9986
281957,11223
77950,1523
77950,2249
77950,9986
77950,11223
44896,1523
44896,2249
44896,9986
44896,11223
270946,1523
270946,2249
270946,9986
270946,11223
2503,1523
2503,2249
2503,9986
2503,11223
9502,1523
9502,2249
9502,9986
9502,11223
102899,1523
102899,2249
102899,9986
102899,11223
101299,1523
101299,2249
101299,9986
101299,11223
228161,1523
228161,2249
228161,9986
228161,11223
74,1523
74,2249
74,9986
74,11223
8961,1523
8961,2249
8961,9986
8961,11223
417859,1523
417859,2249
417859,9986
417859,11223
27576,1523
27576,2249
27576,9986
27576,11223
86834,1523
86834,2249
86834,9986
86834,11223
17578,1523
17578,2249
17578,9986
17578,11223
673,1523
673,2249
673,9986
673,11223
6972,1523
6972,2249
6972,9986
6972,11223
82700,1523
82700,2249
82700,9986
82700,11223
10567,1523
10567,2249
10567,9986
10567,11223
181533,1523
181533,2249
181533,9986
181533,11223
38055,1523
38055,2249
38055,9986
38055,11223
671,1523
671,2249
671,9986
671,11223
49524,1523
49524,2249
49524,9986
49524,11223
22,1523
22,2249
22,9986
22,11223
131631,1523
131631,2249
131631,9986
131631,11223
591,1523
591,2249
591,9986
591,11223
172385,1523
172385,2249
172385,9986
172385,11223
36658,1523
36658,2249
36658,9986
36658,11223
51497,1523
51497,2249
51497,9986
51497,11223
58574,1523
58574,2249
58574,9986
58574,11223
18823,1523
18823,2249
18823,9986
18823,11223
861,1523
861,2249
861,9986
861,11223
1911,1523
1911,2249
1911,9986
1911,11223
49040,1523
49040,2249
49040,9986
49040,11223
415,1523
415,2249
415,9986
415,11223
8871,1523
8871,2249
8871,9986
8871,11223
435,1523
435,2249
435,9986
435,11223
955,1523
955,2249
955,9986
955,11223
2133,1523
2133,2249
2133,9986
2133,11223
1979,1523
1979,2249
1979,9986
1979,11223
87827,1523
87827,2249
87827,9986
87827,11223
1250,1523
1250,2249
1250,9986
1250,11223
324668,1523
324668,2249
324668,9986
324668,11223
9471,1523
9471,2249
9471,9986
9471,11223
70981,1523
70981,2249
70981,9986
70981,11223
10996,1523
10996,2249
10996,9986
10996,11223
68724,1523
68724,2249
68724,9986
68724,11223
2789,1523
2789,2249
2789,9986
2789,11223
97020,1523
97020,2249
97020,9986
97020,11223
7459,1523
7459,2249
7459,9986
7459,11223
42888,1523
42888,2249
42888,9986
42888,11223
37834,1523
37834,2249
37834,9986
37834,11223
75612,1523
75612,2249
75612,9986
75612,11223
1895,1523
1895,2249
1895,9986
1895,11223
1894,1523
1894,2249
1894,9986
1894,11223
585,1523
585,2249
585,9986
585,11223
76170,1523
76170,2249
76170,9986
76170,11223
1893,1523
1893,2249
1893,9986
1893,11223
49519,1523
49519,2249
49519,9986
49519,11223
12100,1523
12100,2249
12100,9986
12100,11223
290595,1523
290595,2249
290595,9986
290595,11223
98566,1523
98566,2249
98566,9986
98566,11223
49047,1523
49047,2249
49047,9986
